Name,Date,Year,Band,Venue,City,Link
REVOLVER RETURNS,"June 26, 2018",2018,Whalebones,Revolver Upstairs,Melbourne,https://www.whalebones.net/
REVOLVER RETURNS,"May 22, 2018",2018,HELLS,Revolver Upstairs,Melbourne,
April 2 - Cambridge Hotel - Newcastle w/ IWRESTLEDABEARONCE,"April 2, 2014",2014,régresser,Cambridge Hotel,Newcastle,https://www.facebook.com/events/1452648091613733/
"Wednesday April 16th - Hamilton Station - Newcastlew/ Bateman, Nola (Japan)","April 16, 2014",2014,régresser,Hamilton Station Hotel,Newcastle,https://www.facebook.com/events/1402673883331793/
"February 26th, Cambridge Antics, Newcastle.","February 26, 2014",2014,régresser,Cambridge Hotel,Newcastle,
"January 9, Hamilton Station Hotel, Newcastle. Oslow, I Am The Agent, New Shoes in an Old Town, Andrew Richmond.","January 9, 2014",2014,I Am The Agent,Hamilton Station Hotel,Newcastle,
"January 31, The Small Ballroom, Newcastle. Régresser EP launch. w/Snakes get bad Press and Drug Mother.","January 31, 2014",2014,régresser,The Small Ballroom,Newcastle,
"March 21, whites records, newcastle.","March 21, 2014",2014,régresser,Whites Records,Newcastle,
"Sunday June 1 - Rad - Wollongongw/ Fat Guy Wears Mystic Wolf Shirt, Tanned Christ, Home Burial","June 1, 2014",2014,régresser,Yours & Owls,Wollongong,https://www.facebook.com/events/676302085745324/
"Friday May 30th - Blackwire Records - Sydneyw/ Fat Guy Wears Mystic Wolf Shirt, Sumeru, Home Burial","May 30, 2014",2014,régresser,Black Wire Records,Sydney,
"Thursday April 17th - The Square - Sydneyw/ Bateman, Nola (Japan)","April 17, 2014",2014,régresser,The Square,Sydney,
"Friday April 25th - Bar 12 - Frankstonw/ Wonders, Cabin Fever","April 25, 2014",2014,régresser,Bar 12,Frankston,
"Saturday April 26th - Bar 303 - Melbournew/ Jurassic Penguin, Old Love, Yatchburner, The World At A Glance","April 26, 2014",2014,régresser,Bar 303,Melbourne,https://www.facebook.com/events/1400517600216677/
"Sunday April 27th - Barwon Hotel - Geelongw/ Wonders, Bombs Over Brunswick","April 27, 2014",2014,régresser,Barwon Hotel,Geelong,
Thursday May 29th - Phoenix Bar - Canberraw/Fat Guy Wears Mystic Wolf Shirt,"May 29, 2014",2014,régresser,Phoenix Bar,Melbourne,
"Friday April 18th - Magpies City Club - Canberraw/ Bateman, Nola (Japan)","April 18, 2014",2014,régresser,Magpies City Club,Canberra,
"March 1st – The Cambridge Hotel, Newcastle w/Twin Lakes, Long Island Sound & Post Paint","March 1, 2013",2013,I Am The Agent,Cambridge Hotel,Newcastle,
"March 31st – Easter Boozapalooza, The Public Bar (North Melbourne) w/Foxtrot, Lucy Wilson, Shadow League, Kissing Booth, Lachlan Hicks, Tim Hampshire and Initials","March 31, 2013",2013,I Am The Agent,Public Bar,North Melbourne,
"Feb 8th – Black Wire Records, Sydney w/Collapso, Yes I’m Leaving and Ted Danson With Wolves","February 8, 2013",2013,I Am The Agent,Black Wire Records,Sydney,
"Feb 9th – The Lass O’Gowrie, Newcastle w/Corey Price & Horegeous","February 9, 2013",2013,I Am The Agent,The Lass O'Gowrie Hotel,Newcastle,
"Jan 26th – Black Wire Records, Sydney w/Lander Configurations, Ghost Notes (QLD) & Hunting Pictures (VIC)","January 26, 2013",2013,I Am The Agent,Black Wire Records,Sydney,
"Feb 1st – The Great Northern, Newcastle w/ Post-Paint & Polyfox","February 1, 2013",2013,I Am The Agent,Great Northern Hotel,Newcastle,
"Jan 2nd – Lass O’Gowrie, Newcastle w/Tommy 9 Fingers","January 2, 2013",2013,I Am The Agent,The Lass O'Gowrie Hotel,Newcastle,
